State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Benue,Makurdi,2019-10-01,29.07,48.97,7.22,24.93,17.15,3.22,0.44,3.1,30.95,0.89,0.49,0.92,87,Moderate,5.0,78.1,0.597,0.15,3.53,113.4
Benue,Makurdi,2019-11-01,56.0,109.33,6.3,33.92,33.94,15.25,0.44,4.77,84.27,1.37,1.01,0.31,151,Unhealthy,5.3,40.7,0.657,1.83,3.45,113.1
Benue,Makurdi,2019-12-01,31.35,103.72,20.34,38.74,38.94,18.61,2.07,9.48,64.93,1.0,4.97,1.76,91,Moderate,6.1,39.7,0.656,2.1,3.4,112.5
Benue,Makurdi,2020-01-01,63.53,220.97,19.57,16.77,27.98,5.89,1.56,10.9,51.87,0.21,4.67,0.18,155,Unhealthy,10.4,31.9,0.489,0.94,3.52,116.1
Benue,Makurdi,2020-02-01,63.75,158.7,22.79,37.17,24.9,9.59,0.9,10.21,80.04,2.01,2.32,0.99,155,Unhealthy,10.8,31.9,0.616,1.09,3.52,115.3
Benue,Makurdi,2020-03-01,30.21,95.53,11.15,19.03,31.52,12.55,0.69,10.25,57.13,0.98,1.78,1.0,89,Moderate,4.3,46.1,0.598,1.84,3.54,115.3
Benue,Makurdi,2020-04-01,6.07,46.42,1.01,7.21,9.35,5.06,0.1,1.81,18.88,0.52,0.99,0.21,25,Good,8.0,64.3,0.624,2.23,3.61,116.3
Benue,Makurdi,2020-05-01,11.45,42.14,5.56,7.54,5.24,2.99,0.62,0.94,23.54,0.35,1.61,0.33,48,Good,3.3,83.2,0.636,0.7,3.58,116.0
Benue,Makurdi,2020-06-01,5.0,21.34,1.24,2.88,13.35,5.4,0.87,1.37,20.55,0.08,1.59,0.47,21,Good,4.9,76.4,0.648,-0.26,3.5,116.3
Benue,Makurdi,2020-07-01,19.85,13.93,7.61,7.52,4.06,6.48,0.41,2.2,10.85,0.22,1.81,0.56,67,Moderate,4.5,82.8,0.554,1.62,3.57,115.3
Benue,Makurdi,2020-08-01,22.81,26.54,1.85,7.76,4.68,2.61,0.38,4.03,25.92,0.43,1.16,0.24,74,Moderate,5.3,83.1,0.655,1.41,3.5,115.4
Benue,Makurdi,2020-09-01,20.8,10.45,5.74,6.66,11.72,5.49,0.86,0.5,16.87,0.13,0.58,0.6,69,Moderate,6.8,82.7,0.584,1.92,3.45,114.7
Benue,Makurdi,2020-10-01,9.78,68.16,2.12,14.46,23.27,10.45,0.26,6.5,47.0,0.61,0.6,0.86,41,Good,3.7,84.7,0.671,2.42,3.63,115.5
Benue,Makurdi,2020-11-01,50.1,75.53,13.54,10.12,5.95,4.6,1.0,4.73,83.59,1.9,0.33,1.61,137,Unhealthy for Sensitive Groups,8.8,43.5,0.567,1.66,3.49,115.8
Benue,Makurdi,2020-12-01,52.83,102.3,14.32,33.28,46.95,17.72,0.85,8.01,35.31,1.04,3.95,1.71,144,Unhealthy for Sensitive Groups,4.9,35.2,0.658,0.84,3.59,115.1
Benue,Makurdi,2021-01-01,40.08,95.98,5.13,12.96,12.44,14.97,1.0,10.05,32.9,0.59,0.74,0.58,112,Unhealthy for Sensitive Groups,15.5,36.9,0.663,2.44,3.53,119.0
Benue,Makurdi,2021-02-01,9.7,76.98,12.5,38.22,17.23,8.59,1.74,10.23,58.34,2.14,1.51,1.71,40,Good,5.3,35.9,0.587,1.53,3.71,118.1
Benue,Makurdi,2021-03-01,38.91,69.97,4.38,10.18,32.97,8.09,0.91,9.61,62.42,0.78,0.9,0.27,109,Unhealthy for Sensitive Groups,12.7,55.2,0.559,1.85,3.64,118.2
Benue,Makurdi,2021-04-01,14.88,64.12,8.38,13.11,10.94,4.59,0.7,6.01,20.82,1.22,0.82,0.07,57,Moderate,3.5,63.1,0.542,1.62,3.71,117.3
Benue,Makurdi,2021-05-01,23.92,39.02,5.59,11.01,11.36,4.3,0.45,2.48,40.23,0.62,1.55,0.57,76,Moderate,4.1,79.4,0.556,1.16,3.59,118.3
Benue,Makurdi,2021-06-01,8.67,52.12,4.85,3.84,11.69,6.81,0.54,4.8,10.42,0.32,0.1,0.35,36,Good,3.9,92.8,0.545,0.29,3.55,118.0
Benue,Makurdi,2021-07-01,20.7,41.34,4.06,13.4,12.83,1.76,0.27,1.83,31.4,0.15,0.79,0.61,69,Moderate,6.9,93.4,0.6,2.19,3.71,118.2
Benue,Makurdi,2021-08-01,11.32,11.66,2.54,7.06,11.28,4.34,0.1,3.23,16.62,0.78,1.4,0.82,47,Good,1.6,81.3,0.604,2.65,3.66,118.4
Benue,Makurdi,2021-09-01,16.56,56.16,3.03,7.5,4.06,6.22,0.49,7.29,26.4,0.76,1.86,0.55,60,Moderate,4.0,83.0,0.638,0.53,3.64,118.5
Benue,Makurdi,2021-10-01,8.94,61.67,4.91,22.04,14.12,5.03,0.52,3.31,37.18,0.53,1.04,0.68,37,Good,7.1,72.0,0.516,0.98,3.58,117.7
Benue,Makurdi,2021-11-01,24.67,172.27,16.14,7.98,49.32,4.79,0.89,3.02,21.95,0.96,2.68,0.76,77,Moderate,8.4,56.5,0.603,1.52,3.62,118.9
Benue,Makurdi,2021-12-01,24.3,217.31,8.63,38.52,33.32,17.3,0.94,8.33,87.0,0.44,1.7,2.12,77,Moderate,5.5,31.7,0.628,2.64,3.61,118.0
Benue,Makurdi,2022-01-01,39.75,133.44,2.04,37.16,12.82,6.54,1.35,17.85,81.41,2.51,2.44,1.07,111,Unhealthy for Sensitive Groups,10.9,25.4,0.551,1.91,3.65,120.7
Benue,Makurdi,2022-02-01,39.57,109.89,14.9,28.12,26.29,4.43,1.69,5.13,53.17,1.81,3.22,0.94,111,Unhealthy for Sensitive Groups,5.4,33.3,0.575,2.01,3.63,120.4
Benue,Makurdi,2022-03-01,48.74,183.52,5.74,15.36,13.36,11.36,1.22,3.37,59.02,1.53,2.54,0.1,134,Unhealthy for Sensitive Groups,7.4,56.1,0.53,1.98,3.7,120.5
Benue,Makurdi,2022-04-01,43.62,63.58,9.24,3.72,17.93,4.65,0.29,5.13,25.93,1.15,1.28,0.4,121,Unhealthy for Sensitive Groups,4.3,68.9,0.623,1.73,3.7,120.8
Benue,Makurdi,2022-05-01,13.97,26.31,2.43,8.57,10.59,7.52,0.67,3.61,37.82,1.11,1.59,0.69,55,Moderate,10.5,75.1,0.536,0.53,3.69,120.2
Benue,Makurdi,2022-06-01,21.02,55.36,2.8,14.56,8.5,5.04,0.4,6.03,33.22,0.37,1.74,0.76,70,Moderate,6.6,77.6,0.634,1.74,3.78,120.2
Benue,Makurdi,2022-07-01,15.32,36.94,5.17,6.85,2.16,5.97,0.59,5.82,29.96,0.17,0.62,0.72,58,Moderate,6.9,93.1,0.533,0.38,3.85,120.8
Benue,Makurdi,2022-08-01,23.3,37.51,5.98,10.94,17.45,5.41,0.32,4.86,31.04,0.59,1.81,0.11,75,Moderate,7.2,98.1,0.634,1.31,3.71,121.3
Benue,Makurdi,2022-09-01,27.92,43.35,1.81,2.56,14.09,6.68,0.49,5.32,43.11,0.58,2.29,0.46,84,Moderate,4.8,77.2,0.668,-0.75,3.67,121.1
Benue,Makurdi,2022-10-01,37.46,63.29,6.55,10.07,10.35,9.96,0.95,1.5,52.16,0.63,1.73,0.71,106,Unhealthy for Sensitive Groups,3.2,76.1,0.654,-0.17,3.77,120.2
Benue,Makurdi,2022-11-01,64.56,164.09,16.65,21.77,25.8,9.29,1.73,11.56,93.46,0.87,2.79,0.29,156,Unhealthy,3.9,61.5,0.656,2.01,3.72,120.9
Benue,Makurdi,2022-12-01,66.66,198.32,12.44,35.82,34.3,7.83,1.94,14.58,97.91,0.81,6.61,0.38,157,Unhealthy,4.3,33.4,0.702,0.04,3.72,120.4
Benue,Makurdi,2023-01-01,70.31,70.72,15.71,14.09,26.75,4.65,0.45,18.34,64.49,2.16,4.39,2.2,159,Unhealthy,10.7,29.2,0.544,1.6,3.83,123.8
Benue,Makurdi,2023-02-01,41.24,189.44,12.81,28.92,24.58,17.87,1.26,12.38,39.89,2.25,4.69,1.38,115,Unhealthy for Sensitive Groups,6.4,36.5,0.571,-0.85,3.8,123.2
Benue,Makurdi,2023-03-01,50.35,79.59,1.71,11.59,15.54,13.98,0.68,8.57,27.65,0.48,4.59,0.68,138,Unhealthy for Sensitive Groups,4.6,52.3,0.681,0.88,3.78,123.4
Benue,Makurdi,2023-04-01,15.53,43.36,3.43,10.24,19.03,4.82,1.07,8.0,16.12,0.99,3.08,0.81,58,Moderate,3.3,69.5,0.562,2.0,3.93,123.5
Benue,Makurdi,2023-05-01,16.67,31.45,7.61,7.67,6.73,9.56,0.45,2.82,35.78,0.63,3.6,0.76,61,Moderate,6.6,74.0,0.649,1.1,3.78,122.5
Benue,Makurdi,2023-06-01,25.6,42.14,6.93,5.71,9.18,2.75,0.68,2.7,42.47,1.02,1.85,0.18,79,Moderate,5.2,75.2,0.54,2.06,3.78,122.8
Benue,Makurdi,2023-07-01,9.68,28.17,9.08,7.76,12.9,2.02,0.55,2.06,13.91,0.88,1.26,0.67,40,Good,5.7,82.5,0.629,1.21,3.91,123.6
Benue,Makurdi,2023-08-01,27.05,22.55,1.0,8.66,5.4,4.28,0.47,5.48,10.0,1.15,2.23,0.91,82,Moderate,7.7,93.2,0.659,0.47,3.75,123.2
Benue,Makurdi,2023-09-01,18.45,10.0,7.1,12.6,20.74,4.71,0.72,6.97,19.89,0.7,3.25,0.6,64,Moderate,5.6,78.5,0.592,-1.8,3.8,123.5
Benue,Makurdi,2023-10-01,41.75,61.85,12.12,7.44,20.05,10.52,0.82,4.09,32.16,0.11,1.8,0.36,116,Unhealthy for Sensitive Groups,4.9,73.6,0.464,-0.13,3.77,123.6
Benue,Makurdi,2023-11-01,16.8,140.08,20.29,36.26,22.07,14.53,0.99,8.92,40.4,0.75,4.9,1.06,61,Moderate,10.4,60.3,0.6,0.74,3.75,123.4
Benue,Makurdi,2023-12-01,48.54,136.94,26.65,12.07,24.83,10.58,1.76,10.13,58.94,2.06,6.12,1.28,133,Unhealthy for Sensitive Groups,3.9,35.2,0.581,0.29,3.76,123.6
Benue,Makurdi,2024-01-01,69.17,154.39,16.42,12.62,30.24,15.36,1.19,16.98,79.4,0.95,2.55,0.63,158,Unhealthy,12.7,37.3,0.59,-0.97,3.87,125.1
Benue,Makurdi,2024-02-01,29.37,160.12,17.57,29.5,20.17,13.61,1.1,8.17,44.87,2.14,1.19,1.66,87,Moderate,6.6,45.7,0.641,-1.0,3.75,125.5
Benue,Makurdi,2024-03-01,41.35,110.27,8.34,17.56,19.73,5.89,0.4,5.55,31.96,0.96,1.38,1.73,115,Unhealthy for Sensitive Groups,10.8,38.8,0.629,0.85,3.98,125.9
Benue,Makurdi,2024-04-01,23.57,59.17,8.72,7.76,17.51,9.11,0.44,7.36,28.35,1.39,3.12,0.82,75,Moderate,3.2,70.3,0.593,1.47,3.97,126.2
Benue,Makurdi,2024-05-01,16.05,38.08,3.01,16.86,18.47,3.92,0.59,0.5,26.45,0.24,1.6,0.26,59,Moderate,7.0,70.6,0.641,1.75,3.98,125.9
Benue,Makurdi,2024-06-01,16.31,46.76,6.22,13.8,17.32,5.64,0.62,4.5,27.63,0.05,0.82,0.56,60,Moderate,2.6,88.8,0.64,2.37,3.89,126.1
Benue,Makurdi,2024-07-01,25.05,52.22,5.64,8.43,6.72,8.71,0.53,5.73,30.47,0.91,0.1,0.22,78,Moderate,5.4,81.5,0.602,0.65,3.86,125.5
Benue,Makurdi,2024-08-01,32.76,51.7,4.78,13.22,3.83,2.87,0.62,4.63,13.4,0.05,2.13,0.61,94,Moderate,4.8,94.8,0.619,0.0,3.97,125.7
Benue,Makurdi,2024-09-01,15.04,29.71,1.66,8.3,16.84,2.93,0.44,1.6,42.1,0.13,3.01,0.63,57,Moderate,2.5,87.5,0.577,1.15,3.79,125.6
Benue,Makurdi,2024-10-01,24.84,28.31,10.41,21.53,31.97,12.52,0.62,0.59,32.21,0.4,2.59,0.51,78,Moderate,6.3,81.6,0.584,2.6,3.93,126.8
Benue,Makurdi,2024-11-01,20.54,171.45,11.31,27.95,46.66,7.62,0.78,5.52,60.03,2.22,3.41,1.63,69,Moderate,11.8,55.0,0.567,0.34,3.95,125.8
Benue,Makurdi,2024-12-01,48.06,157.19,22.27,41.1,29.86,9.02,1.81,5.48,71.93,1.36,4.52,2.31,132,Unhealthy for Sensitive Groups,9.1,26.2,0.706,3.13,3.84,125.0
Benue,Makurdi,2025-01-01,50.5,199.42,21.02,43.12,45.4,11.09,0.74,10.95,78.6,2.58,3.15,1.41,138,Unhealthy for Sensitive Groups,9.5,43.4,0.602,1.62,3.98,128.4
Benue,Makurdi,2025-02-01,24.24,74.14,22.36,38.63,34.35,15.76,0.76,6.33,95.29,1.2,3.09,1.71,77,Moderate,10.2,41.9,0.652,0.91,4.11,128.4
Benue,Makurdi,2025-03-01,27.8,167.7,9.2,23.63,30.08,9.08,1.53,8.44,56.05,0.39,0.26,0.51,84,Moderate,5.2,38.1,0.616,0.31,3.97,128.5
Benue,Makurdi,2025-04-01,23.2,80.59,8.29,17.89,10.17,3.58,1.13,7.98,52.27,1.55,2.27,0.53,74,Moderate,2.3,73.9,0.601,0.42,3.84,129.0
Benue,Makurdi,2025-05-01,41.4,42.99,1.85,14.54,19.4,1.83,0.96,0.5,48.94,1.03,2.26,0.22,116,Unhealthy for Sensitive Groups,7.2,73.1,0.657,2.29,4.04,128.3
Benue,Makurdi,2025-06-01,19.38,42.07,2.92,9.0,8.24,8.08,0.1,2.58,29.7,0.86,0.26,0.16,66,Moderate,0.7,75.8,0.583,-0.15,3.96,129.5
Benue,Makurdi,2025-07-01,11.98,62.42,9.83,4.96,17.88,5.27,0.7,5.52,24.25,0.53,2.44,0.92,50,Good,5.8,84.0,0.571,-0.11,3.97,128.5
Benue,Makurdi,2025-08-01,11.2,39.47,4.1,11.44,16.52,2.78,0.82,4.31,15.32,0.56,2.44,0.31,47,Good,7.2,86.9,0.549,1.25,3.93,129.1
Benue,Makurdi,2025-09-01,28.6,38.65,8.36,9.88,14.93,5.93,0.8,7.2,13.93,0.25,0.83,0.47,86,Moderate,3.8,86.4,0.568,-1.76,4.0,128.1
Benue,Makurdi,2025-10-01,28.42,47.51,6.05,12.67,16.09,10.32,0.56,1.83,52.27,0.66,2.5,0.47,85,Moderate,7.2,72.5,0.633,1.28,3.99,129.1
Benue,Makurdi,2025-11-01,65.13,149.53,23.67,33.38,14.1,11.41,0.93,3.99,37.65,1.03,5.4,0.81,156,Unhealthy,11.1,55.8,0.61,1.8,3.95,128.8
Benue,Makurdi,2025-12-01,53.81,214.31,6.26,19.22,35.31,11.33,1.33,7.93,67.28,2.34,2.45,1.57,146,Unhealthy for Sensitive Groups,3.3,30.6,0.52,0.5,4.02,128.6
Borno,Bama,2014-01-01,79.88,245.74,31.6,69.45,126.33,21.22,1.38,23.11,86.08,5.28,9.2,2.89,164,Unhealthy,7.4,15.2,0.47,1.9,5.11,199.2
Borno,Bama,2014-02-01,62.74,453.82,19.71,33.78,105.61,30.01,3.85,31.57,103.74,4.75,4.87,2.34,155,Unhealthy,11.9,22.6,0.435,-0.69,4.83,199.3
Borno,Bama,2014-03-01,65.33,206.42,34.36,27.34,38.13,24.73,3.08,15.72,59.5,0.85,8.56,2.86,156,Unhealthy,8.3,34.7,0.62,1.06,5.11,199.6
Borno,Bama,2014-04-01,42.01,90.88,9.29,16.05,28.71,11.51,1.17,9.13,37.18,1.51,3.93,1.11,117,Unhealthy for Sensitive Groups,9.6,55.4,0.452,2.43,4.91,200.4
Borno,Bama,2014-05-01,41.53,40.94,12.59,10.42,6.41,2.13,0.79,4.22,24.88,1.49,1.45,0.84,116,Unhealthy for Sensitive Groups,4.6,64.9,0.414,2.36,5.09,200.7
Borno,Bama,2014-06-01,31.77,59.56,12.11,12.13,19.14,7.82,0.87,7.36,15.36,1.0,3.63,0.69,92,Moderate,6.5,67.5,0.418,1.31,4.92,199.8
Borno,Bama,2014-07-01,15.01,29.58,5.55,15.42,11.41,2.49,0.34,4.63,20.05,0.97,1.25,0.54,57,Moderate,5.5,64.0,0.554,3.02,4.94,199.0
Borno,Bama,2014-08-01,14.67,51.62,10.49,10.95,2.0,6.68,1.06,8.52,15.71,1.45,2.07,0.69,56,Moderate,7.2,69.6,0.512,1.68,4.95,199.9
Borno,Bama,2014-09-01,38.46,80.52,4.34,20.48,27.48,2.38,0.58,8.4,33.97,0.69,1.34,1.09,108,Unhealthy for Sensitive Groups,6.6,69.1,0.462,2.05,4.99,200.9
Borno,Bama,2014-10-01,49.09,39.95,7.99,22.91,39.7,5.81,0.94,12.15,17.65,0.57,1.49,1.2,134,Unhealthy for Sensitive Groups,3.1,61.1,0.58,1.39,5.19,199.7
Borno,Bama,2014-11-01,80.04,255.76,45.04,22.76,32.57,29.34,2.61,11.44,41.48,4.74,8.77,2.66,164,Unhealthy,11.8,46.1,0.54,1.09,4.97,200.0
Borno,Bama,2014-12-01,62.83,227.33,30.7,71.58,27.39,21.7,3.12,17.16,111.48,4.6,10.12,3.37,155,Unhealthy,6.5,11.2,0.446,2.38,5.12,201.0
Borno,Bama,2015-01-01,94.88,275.61,21.4,59.38,52.43,32.35,4.68,12.36,130.27,2.9,13.39,3.46,171,Unhealthy,11.6,18.1,0.464,-0.04,5.06,204.8
Borno,Bama,2015-02-01,94.81,203.84,19.98,74.4,56.02,15.61,3.08,23.87,46.52,1.62,4.53,3.77,171,Unhealthy,13.0,14.0,0.473,-0.66,4.98,203.3
Borno,Bama,2015-03-01,108.03,155.49,48.91,67.2,61.96,17.45,1.23,19.69,119.95,2.29,10.52,1.64,178,Unhealthy,5.9,43.3,0.527,2.4,5.35,204.0
Borno,Bama,2015-04-01,38.86,23.16,8.14,12.7,34.32,11.51,1.22,9.13,47.91,0.78,1.48,1.03,109,Unhealthy for Sensitive Groups,6.8,56.1,0.512,2.1,5.15,204.9
Borno,Bama,2015-05-01,36.73,62.03,10.47,28.26,20.1,9.96,1.52,8.71,38.72,1.66,1.8,0.23,104,Unhealthy for Sensitive Groups,4.2,54.4,0.44,1.64,5.13,205.8
Borno,Bama,2015-06-01,16.64,60.2,1.5,5.55,29.0,4.96,0.38,4.37,19.02,1.34,0.88,0.79,61,Moderate,3.5,60.7,0.502,2.39,5.02,203.6
Borno,Bama,2015-07-01,15.83,58.61,8.37,10.18,21.81,5.82,1.14,7.1,17.07,1.17,2.04,1.0,59,Moderate,7.0,69.1,0.399,1.27,5.16,204.8
Borno,Bama,2015-08-01,33.07,70.89,9.6,17.3,16.8,8.07,1.3,5.21,13.98,0.84,0.24,0.52,95,Moderate,5.5,70.2,0.501,0.47,5.13,205.0
Borno,Bama,2015-09-01,26.37,66.08,5.57,6.97,21.26,5.87,0.46,4.52,38.72,0.91,0.26,0.89,81,Moderate,4.2,65.4,0.456,0.08,5.2,206.1
Borno,Bama,2015-10-01,17.81,90.61,19.64,22.66,20.15,14.65,0.48,11.91,34.73,1.65,2.45,0.36,63,Moderate,4.3,55.2,0.604,1.91,5.14,205.1
Borno,Bama,2015-11-01,86.4,223.21,52.0,83.65,97.72,13.61,3.74,16.08,129.73,2.16,12.4,1.81,167,Unhealthy,4.9,34.6,0.488,0.78,5.25,204.9
Borno,Bama,2015-12-01,102.0,300.02,70.38,92.45,59.56,45.19,3.11,32.4,141.99,2.58,14.66,0.95,175,Unhealthy,7.6,21.6,0.546,-0.07,5.24,206.2
Borno,Bama,2016-01-01,109.8,232.15,24.8,37.55,74.68,19.35,4.18,21.1,122.1,1.58,14.29,1.06,179,Unhealthy,6.2,6.3,0.486,2.64,5.27,209.3
Borno,Bama,2016-02-01,103.12,313.6,42.02,23.3,44.27,28.73,2.56,11.82,84.8,1.46,6.18,0.98,176,Unhealthy,12.6,15.8,0.427,2.0,5.27,210.5
Borno,Bama,2016-03-01,112.03,131.31,42.52,22.89,31.4,23.83,3.78,14.34,114.99,1.1,11.03,1.78,180,Unhealthy,6.2,24.7,0.455,1.82,5.21,210.0
Borno,Bama,2016-04-01,31.38,82.78,13.85,33.64,38.0,8.22,0.81,11.69,37.41,1.08,3.64,1.39,92,Moderate,8.0,47.9,0.576,2.15,5.22,212.0
Borno,Bama,2016-05-01,34.27,10.0,13.39,26.77,18.97,9.34,1.53,8.52,12.54,0.4,2.75,0.75,98,Moderate,6.9,69.3,0.485,0.59,5.23,211.2
Borno,Bama,2016-06-01,27.9,45.69,11.48,7.82,27.69,3.35,1.12,2.91,20.8,0.22,1.24,0.45,84,Moderate,5.6,69.7,0.486,-0.28,5.44,210.5
Borno,Bama,2016-07-01,31.67,40.55,13.55,12.57,20.58,4.97,0.38,8.44,15.5,1.01,1.86,0.71,92,Moderate,2.1,66.1,0.501,1.18,5.48,211.7
Borno,Bama,2016-08-01,26.22,18.41,13.43,19.4,23.1,1.63,0.78,7.2,13.47,0.69,2.28,0.81,81,Moderate,3.8,76.1,0.466,0.61,5.2,210.6
Borno,Bama,2016-09-01,40.36,82.73,12.08,5.92,26.8,3.9,1.23,9.71,27.96,1.56,2.94,0.46,113,Unhealthy for Sensitive Groups,1.6,75.8,0.452,2.47,5.38,211.0
Borno,Bama,2016-10-01,40.63,76.47,12.95,35.77,14.77,11.48,1.61,7.3,23.96,0.96,2.9,0.12,114,Unhealthy for Sensitive Groups,8.3,60.6,0.533,1.66,5.38,210.5
Borno,Bama,2016-11-01,54.14,221.97,57.05,65.94,39.14,23.05,1.89,32.37,88.99,2.83,13.36,2.16,147,Unhealthy for Sensitive Groups,7.6,34.3,0.529,2.38,5.22,211.3
Borno,Bama,2016-12-01,97.56,297.29,47.76,22.41,26.57,13.11,4.17,21.09,129.75,3.48,14.23,3.12,173,Unhealthy,8.1,22.0,0.51,1.19,5.41,210.4
Borno,Bama,2017-01-01,158.05,392.15,21.89,88.09,38.42,26.92,5.05,39.21,53.45,4.15,15.29,3.26,208,Very Unhealthy,11.9,8.3,0.533,2.17,5.47,216.0
Borno,Bama,2017-02-01,89.05,419.69,54.34,69.35,46.95,36.97,5.13,33.74,117.33,6.77,14.05,5.22,168,Unhealthy,9.6,24.8,0.52,2.17,5.43,216.1
Borno,Bama,2017-03-01,38.44,156.22,11.06,55.1,37.88,6.58,1.97,6.9,57.7,2.96,8.77,0.99,108,Unhealthy for Sensitive Groups,9.6,27.7,0.495,2.73,5.55,215.6
Borno,Bama,2017-04-01,46.31,74.96,7.61,20.4,33.28,13.07,1.31,7.39,29.06,1.69,3.19,1.29,128,Unhealthy for Sensitive Groups,8.3,47.5,0.549,1.44,5.41,216.0
Borno,Bama,2017-05-01,15.19,67.53,14.26,21.31,12.48,3.18,0.83,3.45,15.38,1.97,1.3,0.33,57,Moderate,8.9,61.4,0.488,1.12,5.3,215.1
Borno,Bama,2017-06-01,11.57,66.42,16.88,24.77,37.85,4.25,1.13,6.35,36.55,1.65,4.22,0.79,48,Good,3.2,62.0,0.625,0.15,5.34,215.5
Borno,Bama,2017-07-01,28.61,40.83,4.15,20.2,12.25,9.26,0.75,6.86,35.97,0.63,1.77,0.74,86,Moderate,5.4,66.8,0.447,1.62,5.35,215.6
Borno,Bama,2017-08-01,14.35,34.22,13.05,7.29,18.24,4.12,0.9,6.86,32.58,1.42,1.68,0.14,56,Moderate,2.3,80.2,0.553,2.97,5.56,215.6
Borno,Bama,2017-09-01,22.96,50.55,17.83,17.57,16.51,3.05,0.33,4.14,21.34,1.36,1.4,0.58,74,Moderate,8.9,62.7,0.469,0.93,5.37,215.9
Borno,Bama,2017-10-01,44.01,50.6,12.67,18.63,24.89,8.52,1.82,7.35,46.68,1.21,1.01,0.62,122,Unhealthy for Sensitive Groups,4.0,52.8,0.454,1.97,5.38,214.3
Borno,Bama,2017-11-01,88.62,249.4,30.08,26.01,33.52,19.9,3.32,12.81,52.18,4.69,8.23,2.86,168,Unhealthy,3.4,47.1,0.477,2.35,5.41,215.4
Borno,Bama,2017-12-01,97.62,276.38,49.29,30.34,50.77,21.04,2.22,38.98,116.36,5.7,11.66,1.48,173,Unhealthy,10.5,22.1,0.51,-0.03,5.57,217.2
Borno,Bama,2018-01-01,113.72,432.38,68.65,67.22,140.3,19.15,6.1,13.56,77.09,6.71,15.6,6.32,181,Unhealthy,12.7,27.5,0.532,0.86,5.67,220.9
Borno,Bama,2018-02-01,147.82,189.7,54.98,75.77,72.66,24.23,3.04,21.76,99.07,4.21,5.14,3.34,199,Unhealthy,4.5,22.4,0.453,0.49,5.67,219.3
Borno,Bama,2018-03-01,88.15,408.25,28.77,80.1,58.84,35.35,2.54,23.98,77.51,3.0,5.31,0.72,168,Unhealthy,5.4,45.0,0.491,0.32,5.47,222.6
Borno,Bama,2018-04-01,42.84,66.47,22.22,35.74,23.93,6.83,0.61,5.96,43.54,0.59,1.85,0.44,119,Unhealthy for Sensitive Groups,3.8,45.0,0.561,4.39,5.58,222.6
Borno,Bama,2018-05-01,17.84,49.75,11.33,6.79,13.08,6.94,1.23,4.11,16.53,1.3,3.84,1.02,63,Moderate,4.6,56.2,0.522,2.13,5.66,222.3
Borno,Bama,2018-06-01,34.69,64.37,4.89,17.17,20.69,3.72,1.01,5.5,28.89,1.6,3.5,0.43,99,Moderate,0.5,73.4,0.547,-1.08,5.63,221.2
Borno,Bama,2018-07-01,24.98,45.55,9.92,24.51,10.67,3.4,0.37,5.67,35.13,0.85,2.0,0.5,78,Moderate,4.5,78.5,0.568,1.61,5.65,220.6
Borno,Bama,2018-08-01,16.01,41.56,19.31,22.58,17.03,7.07,0.99,3.88,25.93,0.49,1.11,0.72,59,Moderate,1.4,65.0,0.459,1.15,5.72,220.5
Borno,Bama,2018-09-01,40.41,47.87,16.72,24.04,20.22,4.55,0.35,8.31,24.82,1.79,3.36,0.62,113,Unhealthy for Sensitive Groups,6.6,70.2,0.579,-0.15,5.58,219.6
Borno,Bama,2018-10-01,39.22,99.56,16.28,36.05,34.17,11.82,0.77,6.7,43.58,2.22,3.93,1.46,110,Unhealthy for Sensitive Groups,6.0,61.2,0.56,0.82,5.36,220.4
Borno,Bama,2018-11-01,45.49,197.51,16.87,40.01,41.9,29.56,1.56,20.44,118.29,1.58,12.79,1.14,126,Unhealthy for Sensitive Groups,6.7,35.2,0.438,2.51,5.63,220.2
Borno,Bama,2018-12-01,90.76,281.28,20.92,56.11,99.92,18.4,1.43,20.79,86.32,4.69,5.36,1.67,169,Unhealthy,10.7,8.5,0.551,2.59,5.61,221.6
Borno,Bama,2019-01-01,171.87,281.84,82.28,131.38,97.49,33.48,4.58,47.8,70.31,8.29,7.73,2.47,222,Very Unhealthy,4.0,19.9,0.576,-2.47,5.9,226.2
Borno,Bama,2019-02-01,89.71,240.08,47.6,35.04,55.76,10.77,1.96,21.99,67.37,2.46,7.41,1.08,169,Unhealthy,12.6,20.5,0.477,1.72,5.56,224.5
Borno,Bama,2019-03-01,35.88,314.48,11.12,49.82,54.47,14.11,1.86,20.82,44.69,3.33,9.02,0.64,102,Unhealthy for Sensitive Groups,4.2,40.9,0.413,0.23,5.78,226.0
Borno,Bama,2019-04-01,49.93,101.33,15.69,37.02,34.85,9.99,1.73,5.4,19.63,1.19,1.27,1.97,137,Unhealthy for Sensitive Groups,5.3,51.4,0.499,1.34,5.64,226.7
Borno,Bama,2019-05-01,20.86,37.01,18.13,10.07,21.59,7.59,1.05,4.35,37.84,0.88,2.1,1.21,69,Moderate,5.3,60.8,0.45,1.46,5.8,225.8
